,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.07978835105895996,0.0832171772783385,0.8076435565948487,0.08259036516284586,7,uniform,"{'n_neighbors': 7, 'weights': 'uniform'}",-0.047460041793983145,-0.04669632976612074,-0.04275228233646726,-0.0459554738503954,-0.04702652161446221,-0.04597812987228575,0.0016862742894269234,10,-0.03375777154203785,-0.033909878550649544,-0.03497105217386073,-0.03423460833843472,-0.0342979644305318,-0.03423425500710293,0.0004193293832777916
1,0.03680734634399414,0.0016113134707137608,0.7242640495300293,0.025289075006911466,7,distance,"{'n_neighbors': 7, 'weights': 'distance'}",-0.04685485034137905,-0.046227363986764004,-0.042206136195809485,-0.04545642129602599,-0.04651996772889523,-0.045452947909774756,0.0016879206351477253,7,-5.660011615648946e-15,-5.744341733397539e-15,-5.8190846613288234e-15,-5.696148734172327e-15,-5.8850034413968835e-15,-5.760918037188904e-15,8.177100472652739e-17
2,0.037468242645263675,0.0016514125719008022,0.7599071979522705,0.07324777488012828,8,uniform,"{'n_neighbors': 8, 'weights': 'uniform'}",-0.047090114717527484,-0.04569042635296647,-0.04191015462739278,-0.04607841533637332,-0.047142962630525954,-0.0455824147329572,0.001921022976210627,8,-0.034512560752903786,-0.03489554850898029,-0.0358883216883067,-0.035254258270257174,-0.035327924539873976,-0.03517572275206439,0.00045943702492993543
3,0.03656015396118164,0.0019988168189407863,0.7204611778259278,0.026980219549790154,8,distance,"{'n_neighbors': 8, 'weights': 'distance'}",-0.046445088197041406,-0.04524880291996428,-0.041366755174421475,-0.04553151053687784,-0.04657484807924417,-0.04503340098150983,0.001903035603896384,3,-7.430398532729838e-15,-7.630586171890035e-15,-7.677966857691552e-15,-7.581685064135585e-15,-7.834765025022592e-15,-7.63108033029392e-15,1.3145274565641717e-16
4,0.04146137237548828,0.006404689455007262,0.8179338455200196,0.1405825601472216,9,uniform,"{'n_neighbors': 9, 'weights': 'uniform'}",-0.0470361410629457,-0.04564746066855451,-0.041397270131526824,-0.04566837093676598,-0.0467697563619213,-0.04530379983234286,0.0020328317121564216,6,-0.0352112052095135,-0.035515139541236376,-0.03678989292237982,-0.036078431501478596,-0.03614001659117591,-0.03594693715315685,0.0005464239256200369
5,0.03892979621887207,0.004233518693318925,0.9567702293395997,0.08037399673355243,9,distance,"{'n_neighbors': 9, 'weights': 'distance'}",-0.04639570111564095,-0.045144467647545775,-0.04084413567468171,-0.04509497493546971,-0.046176734305215794,-0.04473120273571079,0.00201358013562085,2,-9.587141119395916e-15,-9.769337433244006e-15,-9.871436642998e-15,-9.696107517004717e-15,-1.0024969833535535e-14,-9.789798509235635e-15,1.498245720633085e-16
6,0.04167337417602539,0.009142696178509109,0.801922607421875,0.10033523945215457,10,uniform,"{'n_neighbors': 10, 'weights': 'uniform'}",-0.046973962117834715,-0.045218384649342906,-0.041604735655602916,-0.04528202181288334,-0.04689557444417208,-0.045194935735967195,0.0019470376132270405,4,-0.035855263089607486,-0.03628722065592104,-0.03762492895550479,-0.036601408208418146,-0.03684574888309342,-0.03664291395850898,0.0005923056314156821
7,0.056307744979858396,0.02508684912855526,0.774167823791504,0.09673562127636728,10,distance,"{'n_neighbors': 10, 'weights': 'distance'}",-0.04632292318000373,-0.044711468418885736,-0.04101054314252579,-0.04469558347379038,-0.04628168054726301,-0.04460443975249373,0.0019340205340567245,1,-1.1964961826539228e-14,-1.2233866667421652e-14,-1.2493857878509324e-14,-1.203169481447233e-14,-1.2493641362427683e-14,-1.2243604509874042e-14,2.226151233430188e-16
8,0.03877148628234863,0.002735501672355837,0.7989444732666016,0.04616492929012902,15,uniform,"{'n_neighbors': 15, 'weights': 'uniform'}",-0.04750991670964445,-0.04624592235840314,-0.04221056727404582,-0.04580245730371565,-0.047671592573579474,-0.0458880912438777,0.001973360264187752,9,-0.038778325351400654,-0.03986525168192672,-0.04072588023065444,-0.039831256130587675,-0.04027487082000735,-0.03989511684291537,0.0006459991088948056
9,0.035681295394897464,0.0013986204677394855,0.6770678997039795,0.030901054146322573,15,distance,"{'n_neighbors': 15, 'weights': 'distance'}",-0.04680968161166151,-0.04563683652336355,-0.041532902155466615,-0.04519371195996151,-0.04703283172501223,-0.045241192795093074,0.0019789055096324265,5,-2.7923864863483573e-14,-2.9441699220052606e-14,-2.987868070889673e-14,-2.8574750538300205e-14,-2.9746871539267954e-14,-2.9113173374000216e-14,7.483124961082849e-16
10,0.03525900840759277,0.0013941750202527464,0.712482213973999,0.05028914438658993,20,uniform,"{'n_neighbors': 20, 'weights': 'uniform'}",-0.048959556616023164,-0.04697416766527312,-0.04333393386707129,-0.04681384361145007,-0.048489858495747565,-0.04691427205111305,0.0019747484125412942,12,-0.04095435971634957,-0.04222373519791942,-0.04313361210876069,-0.04198657789998067,-0.04281371172234262,-0.04222239932907059,0.0007541216170752455
11,0.03794012069702148,0.0047369059326871415,0.6996819496154785,0.03661245606281898,20,distance,"{'n_neighbors': 20, 'weights': 'distance'}",-0.0482341263065997,-0.04639294049239098,-0.042633089148714165,-0.04616528399302967,-0.04781725767030597,-0.0462485395222081,0.001974978280034905,11,-5.138463126995314e-14,-5.4297222768466227e-14,-5.4825913888138276e-14,-5.2241867642155987e-14,-5.4579064724888354e-14,-5.34657400587204e-14,1.3863481263989277e-15
